,fi,ru,sv,en,es,it,ar,ja,nds,tr,fr,zh,de,pl,ko,pt,la,uk,et,vi,da,th,eo,no,nl,fa,ca,hu,cs,lv,he,id,lt,el,lang_count,park_id,users,posts
292881,378.0,8.0,4.0,31.0,1.0,6.0,,2.0,,,,1.0,1.0,,,,,,,,,,,,4.0,,,,,,,,,,10,292881,315,439
292882,251.0,29.0,17.0,53.0,6.0,4.0,,1.0,1.0,3.0,9.0,,10.0,3.0,,1.0,,,,,3.0,,,,2.0,,,,,,,,,,15,292882,321,397
292884,501.0,17.0,39.0,56.0,1.0,2.0,1.0,,1.0,,,,1.0,,,1.0,,,1.0,,,,,2.0,2.0,,,,,1.0,,,,1.0,15,292884,422,639
292885,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,292885,2,2
292886,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,292886,1,1
292887,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,292887,4,4
292888,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,292888,2,2
293282,141.0,7.0,10.0,16.0,7.0,9.0,,,,,14.0,1.0,,,2.0,2.0,,,1.0,,,,,,1.0,,,,,,,,,,12,293282,126,211
293283,51.0,3.0,,9.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,4,293283,43,65
293285,47.0,11.0,4.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,293285,43,64
293287,35.0,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,293287,36,39
293293,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,293293,1,2
293294,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,293294,3,8
293295,69.0,2.0,1.0,5.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,5,293295,56,79
293732,621.0,3.0,14.0,61.0,2.0,1.0,,,,,1.0,2.0,,,,,,,,1.0,,1.0,,,,,,,,,,,,,10,293732,448,716
294179,331.0,9.0,3.0,26.0,3.0,,1.0,3.0,,1.0,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,10,294179,313,383
294180,21.0,,3.0,9.0,,,,,,,1.0,,3.0,,,3.0,,,,,,,,,,,,,1.0,,,,,1.0,8,294180,33,42
294181,2617.0,365.0,172.0,715.0,36.0,44.0,14.0,16.0,4.0,4.0,17.0,7.0,100.0,3.0,6.0,32.0,,4.0,13.0,4.0,16.0,2.0,2.0,9.0,1.0,,3.0,4.0,5.0,4.0,,2.0,,1.0,30,294181,3163,4368
294605,18.0,,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,294605,21,23
295002,462.0,13.0,6.0,78.0,2.0,2.0,1.0,,,,3.0,,3.0,,,1.0,,,1.0,,,,,,,,,,,,2.0,,,,12,295002,393,578
295397,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,295397,1,1
295398,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,295398,1,2
295806,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,295806,1,1
296952,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,296952,2,9
296953,22.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,2,296953,11,24
296957,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,296957,1,1
296958,5.0,,,4.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,3,296958,9,12
296959,790.0,29.0,9.0,69.0,7.0,8.0,,4.0,,,3.0,17.0,4.0,2.0,2.0,,,,4.0,,2.0,,,3.0,,,,1.0,,,,,4.0,,17,296959,660,971
297344,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,297344,3,3
297708,130.0,1.0,1.0,1.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,5,297708,47,135
297709,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,297709,3,3
297712,9.0,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,2,297712,9,13
297713,19.0,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,4,297713,18,23
298061,337.0,2.0,4.0,12.0,,1.0,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,6,298061,166,363
