,fi,en,ru,it,sv,ja,pt,es,fr,nl,de,cs,id,zh,vi,th,fa,pl,et,tr,hu,lv,no,la,uk,ko,eo,is,lt,ar,da,ceb,he,ca,nds,el,sr,lang_count,park_id,users,posts
860,1974.0,611.0,312.0,77.0,88.0,41.0,17.0,79.0,35.0,15.0,82.0,4.0,3.0,21.0,5.0,3.0,2.0,12.0,3.0,23.0,5.0,1.0,4.0,3.0,,6.0,2.0,1.0,1.0,4.0,7.0,3.0,1.0,10.0,2.0,3.0,,35,860,2216,3529
861,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,861,3,4
862,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,862,2,2
868,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,868,1,2
925,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,925,1,1
939,208.0,43.0,11.0,2.0,12.0,3.0,,,,3.0,1.0,,,1.0,,,,,,7.0,,,,,,,1.0,,,,,,,,,,,11,939,226,296
941,44.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,941,35,50
943,72.0,6.0,,,3.0,3.0,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,6,943,71,87
944,728.0,82.0,23.0,11.0,25.0,,,6.0,7.0,,2.0,,1.0,1.0,,,,1.0,3.0,2.0,,,1.0,1.0,,,,,,,,1.0,,,2.0,,,17,944,611,902
945,69.0,8.0,1.0,,2.0,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,6,945,56,86
946,1016.0,103.0,22.0,5.0,32.0,10.0,,8.0,5.0,2.0,2.0,,,,1.0,,,,4.0,2.0,,,,4.0,,,,,,6.0,2.0,,,,1.0,1.0,,18,946,736,1248
978,541.0,57.0,20.0,3.0,39.0,,1.0,1.0,,2.0,2.0,,,,,,,,1.0,,,1.0,2.0,,,,,,,1.0,,,,,1.0,1.0,,15,978,452,685
979,3.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,979,3,4
1741,17.0,1.0,1.0,,18.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,6,1741,24,40
1743,18.0,1.0,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1743,10,27
1744,679.0,38.0,13.0,7.0,9.0,2.0,,7.0,5.0,,4.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,10,1744,436,770
1745,82.0,14.0,1.0,,,,,5.0,,,1.0,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,6,1745,40,107
1748,12.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1748,9,15
